code,公司,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg
1101,台泥,0.022581174,33751150,2.183928679,0.068013923,37.83,0.055197033,0.005593423,1.21,0.01
1102,亞泥,0.023788733,7269416,-0.092491984,0.03638808,3.86,0,0.001189082,-0.43,0
1103,嘉泥,0.003814906,-75003,-1.539171004,0.028299886,27.04,0,1.97904E-05,0.82,0
1104,環泥,0.064136687,1548901,-0.143299861,-0.136429562,-0.19,0,0.021308116,0.42,0.01
1108,幸福,0.050435748,645226,0.283168734,-0.047298909,-11.92,0,0.005167665,-1.79,0.01
1109,信大,0.064374562,714733,-0.039820037,-0.022017804,-32.41,0,0.017160061,1.11,0
1110,東泥,0.001654519,275853,13.10363516,0.022529072,-16.27,0,-8.27746E-05,2,0
1201,味全,0.017733529,1617837,4.060563975,-0.054628616,-1.28,0,0.002250667,0.02,0.03
1203,味王,0.065049271,1314630,0.998507159,0.010365847,25.76,0,0.021430961,1.09,0.01
1210,大成,0.073904414,9768056,1.03881448,0.248289763,0.18,0,0.018231971,0.27,0.01
1213,大飲,-0.212759284,-79026,-0.546658712,-0.882810856,-29.73,0,-0.068343836,-14.11,-0.02
1215,卜蜂,0.082039337,4140610,0.844041151,0.202840387,8.27,0,0.017954011,0.48,-0.04
1216,統一,0.028528733,73132220,2.849734267,0.082104668,5.28,0,0.005193616,-0.34,0
1217,愛之味,0.0127222,433304,1.429011083,0.056099909,3.53,0,-0.000814775,-0.06,-0.02
1218,泰山,-0.006725411,-929924,9.108089306,0.003383745,83.83,0,0.013521938,0.58,-0.01
1219,福壽,0.031905621,513319,0.579569442,-0.070955276,-11.26,0,0.006250367,0.17,-0.05
1220,台榮,0.046398217,394460,1.660057994,0.125312824,5.64,0,0.019891111,1.54,0.03
1225,福懋油,0.046924026,1021088,1.495315272,0.179454492,7.57,0,0.014742267,0.73,-0.07
1227,佳格,0.047603145,2091024,0.707488037,0.125828551,27.18,0,0.013033586,0.32,0.07
1229,聯華,0.056478783,3539922,-0.258990744,0.115942688,3.6,0,0.00495051,-3.39,0.01
1231,聯華食,0.067832458,1446177,0.638952196,0.039489203,-3.76,0,0.032164915,-0.15,-0.02
1232,大統益,0.150108535,1975625,0.608898998,-0.032217632,14.69,0,0.038692031,0.34,-0.07
1233,天仁,0.040254086,263568,1.758054896,-0.048253135,-3.11,0,0.005785329,0.09,0
1234,黑松,0.041480981,1287920,0.364167409,-0.016091661,99.9,0,0.008148493,-0.62,0
1235,興泰,0.042817295,-74256,-1.40131003,-0.041315283,-1.17,0,0.008123291,7.95,0.01
1236,宏亞,0.002808586,273219,24.40626744,0.416284351,26.37,0,2.83398E-05,-0.24,0.01
1301,台塑,0.012939856,6157311,-0.103436271,-0.042557428,-15.45,0,-0.005699218,-0.39,-0.01
1303,南亞,0.01244337,35677698,3.421097829,0.023995521,6.65,0,0.000722185,0.06,0
1304,台聚,-0.026534232,4756467,-3.420021216,-0.005164891,-12.56,0,-0.015697725,-1.08,0
1305,華夏,0.020837192,1020900,1.760196288,0.005297966,-18.88,0,-0.001953475,-1.56,-0.02
1307,三芳,0.052824741,2148363,1.601862415,-0.03803199,-6.44,0,0.009688613,0.88,0
1308,亞聚,0.006879039,822566,6.965506556,-0.099619542,-44.98,0,-0.010335268,-2.29,0.01
1309,台達化,-0.030952882,-243159,-0.116469789,-0.123029051,-30.13,0,-0.013031833,0.11,0.05
1310,台苯,-0.050552667,-274134,-0.444573665,-0.033600789,-9.06,0,-0.016483612,-0.71,-0.01
1312,國喬,-0.023145246,-74823,-0.947832144,-0.073577428,7.45,0.220599517,-0.006633194,-1.09,0
1313,聯成,-0.004861214,-59627,-0.779615537,0.639648312,113.23,0.004920405,-0.003353733,-0.25,0.06
1314,中石化,-0.025575861,-4121861,0.106081696,-0.052282535,-20.94,0,-0.008816208,1.12,0
1315,達新,0.030474347,540537,0.56375971,0.166481587,165.28,0,-0.004079781,-0.91,-0.01
1316,上曜,-0.019444613,-786690,2.216730318,-0.596928381,-7.02,0.004869597,-0.005483382,0.45,0
1319,東陽,0.090973847,7086797,1.222760756,0.010594276,5.65,0,0.023112781,1.25,0.02
1321,大洋,0.013518867,12660,-0.921514169,-0.142566499,-30.53,0,0.001857596,1.22,0.01
1323,永裕,0.032975497,499343,1.786418982,-0.003776726,50.22,0,0.009534284,0.33,0
1324,地球,0.030793571,82436,1.209428855,0.786883943,-16.81,0,0.003993257,0.28,-0.01
1325,恒大,0.003960343,124653,9.590739167,-0.122649913,-286.37,0,-0.010239973,-1.44,0
1326,台化,0.013300454,18363447,1.439892973,0.029019989,8.42,0,0.000125405,0.31,0.01
1339,昭輝,0.077337922,805619,0.922392626,-0.076900975,-6.55,0,0.013899362,2.46,0
1342,八貫,0.163128388,529902,-0.000812697,0.023895585,20.39,0.00058776,0.035800586,0.92,-0.01
1402,遠東新,0.020726628,46511609,2.342258097,0.19093829,31.04,0,0.004411252,-0.08,0
1409,新纖,0.005911875,-5351369,-5.640962888,0.098709786,0.21,0,0.000393484,0.19,-0.01
1410,南染,0.005968032,32427,3.07732931,0.034943426,33.43,0,-0.000415594,2,0
1413,宏洲,-0.056887652,42394,-1.317898573,-0.023588716,-1.28,0,-0.013693895,0.78,0.06
1414,東和,0.003415387,58134,2.789947193,-0.006485749,18.36,0,0.000949441,2.21,0.01
1416,廣豐,0.022019436,255372,1.524810915,-0.019189158,-430.37,0,-0.004641312,1.51,0.01
1417,嘉裕,-0.000581482,513314,-247.4301488,-0.007897392,79.25,0,0.001166191,0.7,0.03
1418,東華,-0.025503289,-105834,-0.073306131,-0.000562448,1.5,0,-0.006729897,-4.91,-0.01
1419,新紡,0.033553552,249973,-0.598258181,0.151439313,-2.16,0,0.004590872,0.46,0.01
1423,利華,0.016055092,149338,1.957715236,-0.01951997,1401.66,0,-0.001731863,8.61,0
1432,大魯閣,0.007960865,426327,9.992909082,-0.031732047,-3.1,0,-0.004360359,-0.35,0
1434,福懋,0.0060975,4092706,8.365974333,-0.057445994,0.84,0,-0.001986642,-0.07,-0.01
1435,中福,-0.032593487,-925,-0.981453262,0.004269683,6276.32,0,0.000904831,0.23,0
1436,華友聯,0.062352647,-1067419,-2.136154048,-0.31468757,-6.13,0.007081227,0.064637655,27.28,0.09
1437,勤益控,0.038428939,351110,-0.291948488,-0.041634589,-3.67,0,0.007292449,-0.29,0
1438,三地開發,-0.006074313,-1112738,15.85506983,0.062237215,-10.99,0,-0.001965901,0.55,-0.02
1439,雋揚,0.036934439,-55887,-1.285124663,-0.010687285,1.54,0,0.009698344,-6.23,0
1440,南紡,-0.013070436,-233815,-0.654938068,-0.026568581,37.69,0,-0.001740289,1.15,-0.02
1441,大東,-0.215077226,-56712,-0.86221976,-0.027213629,0.31,0,-0.046214389,4.35,0
1442,名軒,0.097734529,2664292,0.557359676,-0.083238556,46.55,0,0.084704542,-1.4,0.23
1443,立益物流,0.02001375,267198,0.900007111,0.002791553,-1.97,0,0.002518309,-0.62,0.01
1444,力麗,-0.013099698,1306930,-6.220536542,-0.022586838,-8.28,0,-0.009235508,-0.12,-0.02
1445,大宇,-0.037557119,-25331,-0.782745549,-0.354813777,412.04,0,-0.053255127,-2.52,-0.07
1446,宏和,0.023742258,524239,3.767369321,-0.990105549,-415.4,0,0.028964936,33.22,0.09
1447,力鵬,-0.021411648,857611,-3.103462231,-0.038071122,-3.32,0,-0.010683148,0.41,0
1449,佳和,-0.00906392,182966,-4.305678513,-0.016269632,-4.46,0.050451767,-0.005844003,1.04,-0.01
1451,年興,-0.049168443,579573,-2.466801813,-0.014682642,83.91,0,-0.017725575,0.98,0
1452,宏益,-0.006504159,367598,-20.50225476,-0.068783173,-180.38,0,-0.003652172,0.62,0.02
1453,大將,0.009399161,-59664,-4.065036474,0.003168297,72.17,0,0.017558908,5.13,0.1
1454,台富,0.002043167,130288,30.2366339,0.055826463,-103.59,0,-0.01151227,-1.32,-0.05
1455,集盛,-0.02432798,-364356,0.452740365,-0.006382744,-20.26,0,-0.002874342,1.79,0.02
1456,怡華,0.000344057,-962660,-235.2238443,0.005014374,-0.25,0,-0.003932879,0.13,-0.02
1457,宜進,0.05184917,360755,-0.660294831,-0.012816975,65.79,0,0.062620028,0.66,0
1459,聯發,-0.003978581,31852,-2.744168218,-0.04202291,-2.34,0,-0.014532021,5.25,0.04
1460,宏遠,-0.097509508,1763153,-2.464559977,-0.170741629,-9.88,0,-0.057376744,-4.87,0.05
1463,強盛,0.016526994,55291,0.137979295,0.073580321,-23.45,0,0.00659334,0.37,0
1464,得力,0.006625693,1034512,9.341603855,-0.113679442,-3.96,0,0.00315395,1.19,0.03
1465,偉全,0.028715368,107479,0.92294205,-0.117759782,-52.26,0,-0.013218647,-1.27,-0.01
1466,聚隆,-0.043854272,93241,-1.617964794,-0.045384045,-3.7,0,-0.004162357,2.16,0.04
1467,南緯,-0.026092681,220244,-2.021052095,-0.026148126,-3,0,-0.007685668,0.47,0
1468,昶和,0.011504417,-34019,-2.065958514,3.732714162,26.2,0,0.000738402,-3.72,0.01
1470,大統新創,0.031096754,144744,3.063673882,-0.104300385,-37.06,0,-0.005400653,-0.79,-0.05
1471,首利,0.019251155,101763,2.192865211,-0.030962044,-213.05,0,-0.002884786,4.25,0
1472,三洋實業,0.046054821,174787,0.423648329,0.175173714,-40.24,0,0.012298649,0.92,0
