code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0.05,17688398,-0.057124858,-0.026047291,11.11,0.069999042,0.02,1.29,0.01,1.5997,4.876280572
1102,亞泥,0.06,28496226,0.775898206,-0.06353111,1.9,0,0.02,-1.06,0.01,1.0161,3.079378684
1103,嘉泥,0,-20360,-1.1213776,0.070582463,98.67,0,0.02,-1.57,0,-0.7218,-2.149807748
1104,環泥,0.03,522422,-0.257167801,-0.007291219,-1.49,0,0.01,0.6,0,1.6682,5.088550979
1108,幸福,0,134496,-28.88059701,-0.085529761,-6.34,0,0,1.42,0.01,-2.4315,-7.118571782
1109,信大,0.1,1376868,0.362965749,0.052628618,36.68,0,0.04,0.6,0.04,-3.9888,-11.49543063
1110,東泥,0,34384,0.396871826,-0.027513164,19.96,0,0,0.14,0,3.408,10.57639213
1201,味全,0.01,569950,3.283148465,-0.032305892,-0.73,0,0.01,0.87,0.07,6.4009,20.45807109
1203,味王,0.06,266175,-0.494079297,-0.006285924,10.84,0,0.02,-0.46,0.01,-0.1805,-0.540523181
1210,大成,0.04,3045038,0.470340299,-0.165250997,-2.13,0.05,0.02,0.53,0.01,3.0029,9.28193009
1213,大飲,-0.03,-79191,1.218608169,-0.000619459,-0.89,0,-0.01,-1.8,0.01,8.8949,29.12865316
1215,卜蜂,0.05,915910,-0.042650155,-0.200717342,-7.24,0,0.02,-0.31,0,1.3167,4.002339243
1216,統一,0.05,48668746,1.04937448,0.022849986,3.53,0,0.02,0.12,0.03,3.3482,10.38466678
1217,愛之味,0.01,-186056,-2.785172179,-0.002282436,2.27,0,0.01,-0.14,0.06,1.9145,5.854161031
1218,泰山,0.05,141799,-0.712613091,0.093191584,25.33,0,0.03,1.11,0.09,4.1999,13.13628307
1219,福壽,0,2299,-0.905759377,0.139639572,17.92,0,0,0.04,0.02,-1.1565,-3.429529913
1220,台榮,0.04,130109,0.221233539,-0.011256817,72.56,0,0.02,1.11,0.05,1.5235,4.64048518
1225,福懋油,0.03,32165,-0.885110639,0.098751681,-16.71,0,0.01,0.01,-0.05,3.9597,12.35568523
1227,佳格,0.1,4388705,0.782858143,0.559959972,34.45,0,0.04,0.95,0.07,5.0968,16.08296125
1229,聯華,0.05,2407257,0.132610428,-0.042040747,6.63,0.050000038,0.03,8.86,0.04,10.3833,34.49623295
1231,聯華食,0.04,351161,0.164118493,-0.063693499,2.7,0.05000021,0.01,0.02,0.02,3.0918,9.565132339
1232,大統益,0.13,497423,-0.325011941,-0.026537014,78.93,0,0.05,-0.4,0.16,2.7343,8.429236166
1233,天仁,0.05,209059,0.677908423,-0.076478107,10.56,0,0.02,-0.12,0.02,0.2725,0.819729711
1234,黑松,0.03,515729,-0.244935039,-0.002026317,34.28,0,0.02,2.98,0.03,1.8373,5.613790351
1235,興泰,0.01,35980,-0.337665446,-0.001137761,-70.15,0,0.02,46.76,0.01,-1.2855,-3.807137123
1236,宏亞,-0.01,138103,-4.93097461,-0.02070675,-0.6,0,0,2.72,0.02,4.5611,14.31689774
1301,台塑,0.07,38973794,0.145813894,0.00637086,56.73,0,0.03,-0.48,0,1.1648,3.535260806
1303,南亞,0.03,44325809,1.352882952,0.035754032,14.15,0,0.02,-0.04,0.02,0.0001,0.0003
1304,台聚,0.02,4036824,1.620640407,-0.01524814,-5.03,0,0.01,0.2,0,-1.178,-3.492532949
1305,華夏,0.03,1191953,1.908358689,-0.008676885,75.93,0.039999834,0.02,1.03,0.04,1.5795,4.813738664
1307,三芳,0.02,626538,0.880050172,0.095764274,3.07,0,0.01,0.6,0.01,-0.3632,-1.085647364
1308,亞聚,0.03,245221,-0.524633765,0.075016491,-0.7,0,0.01,0.79,-0.01,-1.7289,-5.097543928
1309,台達化,0.04,1103360,2.750858371,-0.013311766,-1.63,0.01999989,0,-1.14,-0.02,1.6751,5.109948827
1310,台苯,0.1,748322,-0.196211791,-0.018366326,41.4,0,0.04,-0.56,0.06,3.0031,9.282566667
1312,國喬,0.06,2373115,0.282818258,-0.011909095,3.77,0,0.02,-0.9,-0.01,4.8986,15.42744328
1313,聯成,0,3072839,-58.71890379,-0.067928144,-7.42,0.029768148,0.01,1.33,0.01,0.5764,1.739186259
1314,中石化,0.01,-1618439,-2.800658431,-0.021532119,-37.66,0.050000013,0,-0.36,0,1.4339,4.363676896
1315,達新,0.03,351956,0.283967371,-0.003670731,121.94,0,0.03,0.14,0.04,-6.2768,-17.67318293
1316,上曜,-0.02,-944734,7.326435282,-0.389814607,-18.44,0.020803582,0,-0.15,0.01,3.0514,9.43637243
1319,東陽,0.04,3394269,1.455965084,0.028438667,12.04,0,0.01,0.08,0,0.3938,1.18605846
1321,大洋,0,187876,2.797008892,-0.137408837,-68.07,0,0,-0.03,0.02,-1.1593,-3.437736512
1323,永裕,0.05,504354,0.960034043,0.091673718,59.75,0,0.02,0.6,0,2.3443,7.199060642
1324,地球,0,21295,-10.03478999,-0.013199595,29.88,0,0,-0.21,-0.01,0.4874,1.469338341
1325,恒大,0.01,77322,1.879347583,-0.002353271,1602.69,0,0,-0.81,-0.02,28.0049,109.7392854
1326,台化,0.05,48261399,0.598122171,0.062128332,52.9,0,0.03,-1.28,0,-0.1494,-0.447530723
1339,昭輝,0.06,627475,0.823286696,0.062140673,18.07,0,0.02,0.48,-0.01,-3.1123,-9.049322363
1342,八貫,0.1,268151,0.800758848,-0.118759308,-1.01,0.011211441,0.04,0.09,0.07,0,0
1402,遠東新,0.02,35292977,1.804036471,-0.092383921,-13.93,0,0.01,0.17,0,-1.0832,-3.214527427
1409,新纖,0.01,1539274,-0.185713213,0.023013306,2.13,0,0.01,0.74,-0.01,-1.2037,-3.567807593
1410,南染,0.03,77573,0.540950716,-0.002227197,-11.14,-0.125,0.01,-0.84,0.01,3.0495,9.430319375
1413,宏洲,0.03,156374,1.036809336,-0.039374626,-10.65,0,0,-0.83,-0.1,-1.3475,-3.988271986
1414,東和,0,-35158,1.417520457,-0.003915628,-5.34,0,0,-0.66,-0.01,3.3763,10.47473083
1416,廣豐,-0.02,-65621,-0.538883697,-0.005043802,4.6,0,-0.01,4.08,0,-3.2791,-9.518250947
1417,嘉裕,-0.02,-93648,0.137775186,-0.025047256,7.66,-0.286968617,-0.01,-0.56,-0.01,-4.8774,-13.93013194
1418,東華,-0.06,-193853,0.243141505,-0.005151491,-8.38,0,-0.03,-13.58,-0.02,-0.7168,-2.135022762
1419,新紡,0.03,73466,-0.775013398,-0.006891563,3.53,0,0.02,-0.91,0.01,-2.1639,-6.352239342
1423,利華,-0.01,158,-1.005201132,-0.0000453,-666.7,0,-0.01,-11.26,0,1.0001,3.03040603
1432,大魯閣,-0.03,256669,-2.406413186,0.028362627,16.87,0,-0.01,0.65,0.01,6.2342,19.89278686
1434,福懋,0.04,5084344,0.360777935,-0.001963925,36.57,0,0.01,-0.13,0.02,0.6515,1.967261221
1435,中福,-0.01,515,-1.064731021,0,-2356.22,0,0,0.08,0,0.9523,2.88419262
1436,華友聯,0,-1804574,-66.28849493,0.009800266,-14,0.2,0,0.42,-0.04,3.981,12.42476006
1437,勤益控,0.02,213140,0.056136682,-0.016886833,18.36,0,0.01,-1.55,0,-1.0582,-3.141124879
1438,三地開發,-0.02,-1527,-0.834758143,0,2203.6,0,-0.02,273.33,0,0.8255,2.496999761
1439,雋揚,-0.07,-108118,-0.429290823,-0.145092227,-341.43,0,0,-0.22,-0.01,0.6488,1.959055554
1440,南紡,0,1276491,20.26528062,-0.028710852,-2.69,0,0,-1.31,0,-0.9631,-2.861562485
1441,大東,-0.08,-203857,-0.194759898,0.236865892,0.34,0.290448123,-0.03,-0.58,-0.01,-5.9278,-16.7500652
1442,名軒,-0.01,-1309028,19.12681622,0.361602177,253.23,0.000134734,0,1.45,0,-0.563,-1.679508775
1443,立益物流,-0.01,-149783,4.211837573,-0.110977126,-2.2,0,-0.01,0.53,-0.01,-3.7434,-10.81505434
1444,力麗,0.02,871990,1.658271067,-0.076212017,-5.42,0,0,-0.71,0,4.2094,13.16723011
1445,大宇,-0.01,82877,-3.987419797,-0.01421827,17.49,0,-0.01,-1.3,-0.03,1.1352,3.444406662
1446,宏和,-0.01,-213025,6.381835193,5.226682658,7.19,0,0,0.47,0,0.8454,2.557701456
1447,力鵬,0.01,258487,0.504686008,-0.094657161,-1.82,0,0,0.5,-0.03,1.2648,3.842593904
1449,佳和,-0.03,-78922,-0.567339689,-0.057460853,-7.53,0,-0.01,-2.61,0.01,1.4141,4.302573139
1451,年興,0,-47688,0.259687772,0.008306803,-6.38,0,0,0.44,0.01,0.7713,2.331792996
1452,宏益,0.06,141933,-0.046155604,-0.015271998,872.81,0,0.02,-1.36,-0.01,1.2268,3.725735785
1453,大將,-0.02,20072,-1.75555221,0,-89.9,0.100000335,0,9.77,0,-4.2797,-12.29746366
1454,台富,0.02,78859,1.281535702,-0.018183481,-2.77,0,0,-1,-0.02,1.4192,4.318309704
1455,集盛,-0.01,907176,-13.87486695,-0.013270352,2.2,0,0,-0.07,-0.04,4.4612,13.98954798
1456,怡華,0,12723,-2.495591866,0.000178464,-3.77,0,0,1.17,-0.03,-3.2074,-9.316877143
1457,宜進,0.03,249432,-0.477603063,-0.015231757,0.84,0,0,-0.22,-0.02,-1.03,-3.058282273
1459,聯發,-0.02,365467,-3.986451481,-0.073606716,-9.92,0,-0.01,-1.64,-0.04,1.6758,5.112119785
1460,宏遠,0,-28067,-0.541208971,0.174206647,4.71,0.019999904,-0.01,-2.11,0,0.8169,2.470774282
1463,強盛,0.05,280971,1.430944532,0.05327827,520.79,0,0.02,0.46,0.01,0.6824,2.06120187
1464,得力,0.02,226090,-0.481631614,-0.080444867,8.08,0.149447478,0.01,0.53,0.02,-1.0775,-3.197794911
1465,偉全,-0.09,-150646,-0.353156372,-0.041208749,-140.44,0,-0.02,1.47,-0.03,-1.3146,-3.892181991
1466,聚隆,0,45641,-4.051889,-0.029845828,-8.45,0,-0.01,0.68,-0.06,9.3065,30.59843274
