code,name,ROA_now,CFO,CFO-NI,NCL_chg,CR_chg,CE_chg,ROA_chg,MR_chg,ATO_chg,return,annual_return
1101,台泥,0,2274524,1.142965222,-0.156425577,-25.86,0,-0.04,-15.82,-0.05,1.4303,5.84512009
1102,亞泥,0.01,703931,-0.722358559,0.012007172,12.07,0,-0.05,-7.98,-0.05,4.4142,18.86069393
1103,嘉泥,0,-66598,-0.394343398,-0.004081974,-1.62,0,-0.01,1.6,0,3.0429,12.73851014
1104,環泥,0.01,-31689,-1.099379057,0.067570911,5.07,0,-0.03,0.45,-0.01,3.4147,14.37447293
1108,幸福,0.01,359686,5.036823202,-0.030565032,-10.57,0,-0.02,1.19,-0.03,0,0
1109,信大,0.01,283093,1.50425052,0.044416001,121.7,0,-0.09,-12.82,-0.2,-0.1901,-0.758234466
1110,東泥,0,17397,-0.229402906,0.638969807,1.11,0,-0.01,4.23,-0.02,1.4569,5.956194904
1201,味全,0.01,-129471,-1.975813989,-0.010616968,-4.41,0,-0.03,-0.62,-0.11,-1.4742,-5.76768087
1203,味王,0.02,4701,-0.979906306,0.020107417,33.41,0,-0.05,1.32,0.01,-1.916,-7.446536661
1210,大成,0,-1331645,-7.040959734,-0.009003882,-3.11,0,-0.04,-0.49,-0.11,0.3116,1.252237785
1213,大飲,-0.02,8971,-1.33527675,1.737767782,54.99,0,0.06,-5.27,0,-0.926,-3.652868314
1215,卜蜂,0.01,91384,-0.704761474,-0.144615435,-13.35,0,-0.04,-0.86,0.07,-2.1382,-8.282375397
1216,統一,0.01,2079133,-0.680719387,0.038974201,5.23,0,-0.04,-0.34,0.02,1.4701,6.01134718
1217,愛之味,0,-236851,-5.447070973,0.018239555,4.15,0,-0.01,-0.92,-0.03,-1.6073,-6.275849457
1218,泰山,0.01,206174,0.449286161,-0.101720236,-38.75,0,-0.04,-0.06,-0.04,-2.2011,-8.517951647
1219,福壽,0.02,155881,-0.183894747,-0.055555255,4.8,0,-0.01,3.37,0.17,-1.4407,-5.639454839
1220,台榮,0.01,226577,5.74657575,-0.033308538,171.61,0,-0.05,-2.36,0,-0.9291,-3.664926456
1225,福懋油,0.02,305380,0.550207368,-0.103403711,6.34,0,-0.03,2.42,0.03,-1.001,-3.944280137
1227,佳格,0.01,83563,-0.774429616,-0.097630545,37.27,0,-0.08,-2.13,-0.24,-0.5223,-2.072889081
1229,聯華,0.02,279417,-0.80205541,-0.054062259,-8.57,0,-0.05,-4.22,-0.04,1.4632,5.982514896
1231,聯華食,0.02,144159,-0.336367026,-0.011477504,2.27,0,-0.06,0.84,0.02,1.0517,4.2736309
1232,大統益,0.06,-50589,-1.10805044,-0.002510643,61.77,0,-0.11,3.16,0.13,-0.6641,-2.630055232
1233,天仁,0.01,58773,2.391989381,0.010087224,9.83,0,0,1.68,0.04,0.1392,0.557963678
1234,黑松,0.01,152146,0.221153846,-0.0127488,63.54,0,-0.03,-6.1,-0.05,-0.4244,-1.686823622
1235,興泰,0,18531,-0.230663844,-0.006631344,171.94,0,-0.01,-80.77,-0.01,2.9755,12.44383196
1236,宏亞,-0.01,3810,-1.119241362,0.239977199,16,0,0,1.64,0.02,-0.6857,-2.714717672
1301,台塑,0.03,15448036,-0.064375685,0.018520691,27.44,0,-0.1,-3.13,-0.02,-0.1536,-0.612985871
1303,南亞,0.02,11384132,-0.298055264,-0.015258851,8.67,0,-0.1,-6.06,-0.06,-0.7181,-2.841607798
1304,台聚,0.01,3361028,3.362535208,-0.017054841,36.6,0,-0.11,-6.44,-0.08,-0.9539,-3.76135085
1305,華夏,0.03,777172,0.607427692,0.004811075,31.57,0,-0.13,-10.78,-0.07,-2.4416,-9.41450198
1307,三芳,0.01,-123770,-2.092390249,-0.090421025,-28.28,0,0,-3.86,0.14,-0.2834,-1.128790165
1308,亞聚,0.01,800335,2.264794547,-0.132084831,52.34,0,-0.14,-11.62,-0.07,-2.2495,-8.698912592
1309,台達化,0.03,446421,0.705791547,-0.390749588,51.58,0,-0.15,-2.85,-0.36,-3.2829,-12.4989904
